XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference,yield_value,incubation_hours,experiment_id,publication_year,reference_id
89,mixture (corn cob ; vine trimming shoots),Aspergillus terreus CECT 2808,xylanase,146.21,U/gds,NA,"Dried (room T°), ground (CC: <2cm ; VTS: <5mm). Mixture sterilised (1h ; 100°C).","Solution added to reach the predefined MR (g/L): 1,3 (NH4)2SO4 ;5 NaNO3 ; 4,5 KH2PO4 ; 3 YE.",NA,"MR (1:1,36 w/v) ; Inoculum (1E6 spores/gds) ; T°=30°C ; Humidity: atmosphere saturated with water.",Substrate proportions: 1:1.,2016,24,146.21,,89,2016,24
90,corn cob,Aspergillus terreus CECT 2808,xylanase,202.75,U/gds,NA,"Dried (room T°), ground ( <2cm), sterilised (1h ; 100°C).","Solution added to reach the predefined MR (g/L): 1,3 (NH4)2SO4 ;5 NaNO3 ; 4,5 KH2PO4 ; 3 YE.",NA,"MR (1:1,36 w/v) ; Inoculum (1E6 spores/gds) ; T°=30°C ; Humidity: atmosphere saturated with water.",,2016,24,202.75,,90,2016,24
92,wheat bran,Aspergillus sp Tam1,xylanase,5059.5,U/gds,96,"Mixture autoclaved (15mn ; 121,5°C).","Solution added to reach the predefined MC (g/L) :1 NaNO3 ; 0,5 YE ; 1 K2HPO4 ; 1 MgSO4.7H2O.",OFAT + RSM (Box-Benkhen design),"pH=4,8 ; MC=80% ; Inoculum (3E6 spores/ml) ; T°=25°C.",,2016,26,5059.5,96.0,92,2016,26
93,corn stover,Co-culture (Auricularia polytricha AP ; Irpex lacteus CD2),xylanase,17,U/gds,360,"Ground (188µm), autoclaved (30mn ; 121°C).",None,NA,Inoculum (A. polytricha: 8ml ; I. lacteus: 2ml) ; T°=28°C.,Cellobiohydrolase was the only enzyme to present lower activity in co-culture than in monocultures.,2011,27,17.0,360.0,93,2011,27
117,wheat bran,Rhizopus oryzae SN5,xylanase,273.83,U/gds,120,Autoclaved.,"Modified Czapex-Dox inorganic medium (g/L): 2 NaNO3 ; 0,5 KCl ; 0,01 FeSo4.7H2O ; NAMgSO4.7H2O ; 4,5 KH2PO4.",OFAT + EVOP-factorial design (pH ; T° ; incubation time).,"pH=6 ; MR: 1:2 w/v ; Inoculum (1,8E8 spores/mL) ; T°=30°C.","Optimisation via EVOP-factorial design resulted in cellulase and xylanase activies respectively 1,15 and 1,06-fold higher than via OFAT.",2016,37,273.83,120.0,117,2016,37
120,wheat straw,Trichoderma reesei ATCC 13631,xylanase,1023,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 4 betaine ; 4 CMCose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40,1023.0,108.0,120,2018,40
123,wheat bran,Trichoderma reesei ATCC 13631,xylanase,2612,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 2 CMCose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40,2612.0,108.0,123,2018,40
126,rice straw,Trichoderma reesei ATCC 13631,xylanase,330,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 0,2 Tween 80 ; 2 CMCose ; 1,6 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40,330.0,108.0,126,2018,40
129,rice husk,Trichoderma reesei ATCC 13631,xylanase,4402,U/gds,108,"Washed, autoclaved (solid to water ratio 1:10 w/v ; 30mn ; 121°C), pH-adjusted with HCl solution (1% v/v), dried (70°C), ground (0,2-2mm).","0,4mL/gds Mandel's medium (mg/L): 300 urea ; 1400 (NH4)2SO4 ; 2000 KH2PO4 ; 300 CaCl2 ; 300 MgSO4.7H2O ; 750 proteose peptone ; 250 YE ; 5 FeSO4.H2O ; 1,6 MnSO4.7H2O ; 1,4 ZnSO4.7H2O ; 2 CoCl2.6H2O. Additives cocktail (mg/gds): 2 CMCose ; 4 lactose.",Taguchi optimisation method for optimisation of the additive cocktail.,pH=5 ; Inoculum (5E6 spores/gds) ; MC=80% w/w ; T°=28°C.,"The study focused on the impact of 4 carboneous additives on the production of xylanase, CMCase and FPase. The additive cocktail used in this experiment (cf. Nutritive or inducing supplement) has been optimised for xylanase production.",2018,40,4402.0,108.0,129,2018,40
139,mixture (wheat bran ; soybean cake),Aspergillus niger DFR-5,xylanase,2596,U/gds,144,Powdered. Mixture sterilised (30mn ; 121°C).,"Solution added to reach predefined MC (g/l): 20 KH2PO4 ; 13 (NH4)2SO4 ; 3 CO(NH2)2 ; 3 MgSO4 ; 3 CaCl2 ; 0,05 FeSO4 ; 0,015 MnSO4 ; 0,014 ZnSO4 ; 0,002 CoCl2.",OFAT for production ; CCRD for extraction.,pH=6 ; MC=70% ; Inoculum (1mL ; 1E6 spores/mL) ; T°=50°C.,"Substrate proportions (w/w): 7WB:3SC. Incubation time was identified as critical parameter because xylanase activity sharply decreased after 6 days. Optimisation of the extraction lead to a recovery of 4465±52 U/gds, using water as extractant.",2010,44,2596.0,144.0,139,2010,44
